,Gender,Occupational Status,Marital Status,Age Group,Monthly Income (Php),"Upon booking at a resort, which activity would you be most inclined to participate in first?",Select the activities you would participate in (Select 1 or more),How long do you expect to spend time in the following facilities [Swimming Pool],How long do you expect to spend time in the following facilities [Beach],How long do you expect to spend time in the following facilities [Recreational Room],How long do you expect to spend time in the following facilities [Spa and Wellness],How long do you expect to spend time in the following facilities [Gym and Training Area],How long do you expect to spend time in the following facilities [Sports Center],"If you have selected Swimming Pool, which activities would you participate in? (Select 1 or more)","Among the activities listed for Swimming Pool, which among the given would you prioritize?",Which items do you expect in the shower rooms prior to swimming activities (Provided that you participate in swimming)?,"If you had selected Beach/Beach Activities, which activities would you participate in? (Select 1 or more)","Among the activities listed for Beach/Beach Activities, which among the given would you prioritize?","If you had selected Recreational Room, which activities would you participate in? (Select 1 or more)","Among the activities listed for Recreational Room, which among the given would you prioritize?","If you had selected Spa and Wellness, which activities would you participate in? (Select 1 or more)","Among the activities listed for Spa and Wellness, which among the given would you prioritize?","If you had selected Gym and Training Area, which activities would you participate in? (Select 1 or more)","Among the activities listed for Gym and Training Area, which among the given would you prioritize?","If you had selected Sports Center, which activities would you participate in? (Select 1 or more)","Among the activities listed for Sports Center, which among the given would you prioritize?",Which days of the week are you most likely to check-in?,How many people do you bring along when having these activities?,How likely are you to consider paying separate entrance fees for each recreational facility you visit?,How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Swimming Pool],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Beach],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Recreational Room],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Spa and Wellness],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Gym and Training Center],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Sports Center],What activity do you typically engage in after participating in recreational activities?,Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Swimming Pool],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Beach],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Recreational Room],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Spa and Wellness],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Gym and Training Area],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Sports Center],Do you typically eat snacks or drink beverages during these activities?,"If you have selected yes, select the snack you eat during these activities","If you have selected yes, select the drinks you would most likely take to have."
4/3/2024 21:28:34,Male,Part-Time,Single,19 - 25,"Less than 9,100",Spa and Wellness,"Swimming Pool, Sports Center",3+ Hours,1-2 Hours,1-2 Hours,1-2 Hours,1-2 Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels","Fishing, Snorkeling/Scuba Diving",Fishing,"Table Tennis/Ping Pong, Darts",Table Tennis/Ping Pong,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Cardio (e.g., treadmill, stationary bike)","Basketball, Volleyball",Volleyball,"Sunday, Friday, Saturday",4-6,Yes,+ 1 hour,30 minutes,+ 1 hour,+ 1 hour,30 minutes,+ 1 hour,,Morning (5AM-11AM),Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",No,"Fast Food (sandwiches, pizza, fries)",Alcoholic
4/3/2024 21:42:52,Male,Part-Time,Single,18 and below,"Less than 9,100",Swimming Pool,Sports Center,3+ Hours,1-2 Hours,>1 Hour,1-2 Hours,1-2 Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)",Towels,"Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Boxing (e.g., punching bag)","Basketball, Volleyball, Hiking/Nature Walk",Hiking/Nature Walk,"Sunday, Friday, Saturday",None (Solo),No,30 minutes,30 minutes,45 minutes,45 minutes,20 minutes,+ 1 hour,Return home/Travel back immediately,Afternoon (12AM-5PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Evening (6PM-11PM),"Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)",Water
4/3/2024 21:45:13,Male,Retired,Married,30-45,"36,400 to 63,700",Swimming Pool,Recreational Room,>1 Hour,>1 Hour,1-2 Hours,1-2 Hours,>1 Hour,1-2 Hours,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Showers,Beach Swimming,Beach Swimming,Table Tennis/Ping Pong,Table Tennis/Ping Pong,"Spa Treatment (e.g., facials)",Massage Therapy,"Cardio (e.g., treadmill, stationary bike)","Cardio (e.g., treadmill, stationary bike)",Basketball,Basketball,Friday,4-6,No,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12AM-5PM),Evening (6PM-11PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Yes,"Fast Food (sandwiches, pizza, fries)",Non-Alcoholic
4/3/2024 21:51:21,Female,Unemployed,Single,18 and below,"Less than 9,100",Swimming Pool,"Beach/Beach Activities, Recreational Room, Spa and Wellness",>1 Hour,1-2 Hours,3+ Hours,1-2 Hours,>1 Hour,1-2 Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Snorkeling/Scuba Diving,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Yoga (e.g., mat, exercise ball), Free Space with Dance Studio Mirrors",Free Space with dance studio mirrors,"Volleyball, Hiking/Nature Walk",Hiking/Nature Walk,Saturday,None (Solo),No,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,,Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12AM-5PM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),No,"Healthy Options (yogurt, salads, fruit cakes)",Water
4/3/2024 21:51:37,Female,Unemployed,Single,18 and below,"Less than 9,100",Recreational Room,"Beach/Beach Activities, Recreational Room",,1-2 Hours,1-2 Hours,,,,,,,"Snorkeling/Scuba Diving, Kayaking/Paddling",Snorkeling/Scuba Diving,"Billiards, Darts",Billiards,,,,,,,Friday,None (Solo),Yes,,45 minutes,30 minutes,,,,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),Morning (5AM-11AM),"Afternoon (12AM-5PM), Evening (6PM-11PM)",Afternoon (12AM-5PM),Morning (5AM-11AM),Afternoon (12AM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Caffinated, Water"
4/3/2024 21:52:35,Female,Full-time,Married,30-45,"109,200+",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Sports Center",>1 Hour,1-2 Hours,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Kayaking/Paddling, Jetskiing, Beach Swimming",Kayaking/Paddling,Air Hockey,Air Hockey,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Yoga (e.g., mat, exercise ball)","Yoga (e.g., yoga mat, exercise ball)",Hiking/Nature Walk,Hiking/Nature Walk,"Sunday, Friday, Saturday",4-6,No,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Morning (5AM-11AM),Yes,"Healthy Options (yogurt, salads, fruit cakes)",Water
4/3/2024 21:53:22,Male,Unemployed,Single,19 - 25,"36,400 to 63,700",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Gym and Training Area, Sports Center",3+ Hours,1-2 Hours,1-2 Hours,>1 Hour,3+ Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Snorkeling/Scuba Diving,"Table Tennis/Ping Pong, Billiards",Table Tennis/Ping Pong,"Sauna and Steam Rooms, Spa Treatment (e.g., facials)",Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball, Hiking/Nature Walk",Basketball,"Friday, Saturday",4-6,Yes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)","Afternoon (12AM-5PM), Evening (6PM-11PM)",Afternoon (12AM-5PM),"Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Non-Caffinated, Water"
4/3/2024 21:57:44,Male,Full-time,Single,30-45,"18,200 to 36,400",Beach,"Beach/Beach Activities, Recreational Room, Spa and Wellness",>1 Hour,1-2 Hours,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Showers,"Snorkeling/Scuba Diving, Kayaking/Paddling, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey",Table Tennis/Ping Pong,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,,,,,Friday,1-3,Yes,20 minutes,20 minutes,> 10 minutes,30 minutes,,,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),"Morning (5AM-11AM), Afternoon (12AM-5PM)",Afternoon (12AM-5PM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Beverages (bottled water, energy drinks, soda)","Caffinated, Water"
4/3/2024 21:58:30,Male,Unemployed,Single,19 - 25,"Less than 9,100",Sports Center,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",>1 Hour,>1 Hour,1-2 Hours,1-2 Hours,1-2 Hours,1-2 Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Play with Pool Toys (e.g., inflatable toys, water guns)",Towels,"Jetskiing, Beach Swimming",Jetskiing,"Billiards, Air Hockey, Console Gaming",Billiards,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball, Hiking/Nature Walk",Basketball,"Sunday, Wednesday, Thursday, Friday, Saturday",1-3,Yes,30 minutes,30 minutes,> 10 minutes,> 10 minutes,20 minutes,> 10 minutes,Relax/Sleep in room,Morning (5AM-11AM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Evening (6PM-11PM),Evening (6PM-11PM),Morning (5AM-11AM),Yes,"Beverages (bottled water, energy drinks, soda)",Non-Alcoholic
4/3/2024 21:58:40,Male,Unemployed,Single,19 - 25,"Less than 9,100",Recreational Room,"Recreational Room, Spa and Wellness, Sports Center",>1 Hour,>1 Hour,1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Toilets/Urinals",Fishing,Fishing,Console Gaming,Console Gaming,Sauna and Steam Rooms,Sauna and Steam Rooms,,,,Hiking/Nature Walk,Saturday,10+,Yes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,Relax/Sleep in room,Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12AM-5PM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Caffinated, Water"
4/3/2024 22:06:48,Male,Unemployed,Single,19 - 25,"Less than 9,100",Gym and Training Area,"Swimming Pool, Beach/Beach Activities, Gym and Training Area",3+ Hours,1-2 Hours,,,1-2 Hours,,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,,,,,"Weights (e.g., dumbbells, bench press)","Weights (e.g., dumbbells, bench press)",,,"Sunday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,20 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Afternoon (12AM-5PM),Morning (5AM-11AM),"Afternoon (12AM-5PM), Evening (6PM-11PM)",Afternoon (12AM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/3/2024 22:07:27,Male,Full-time,Single,26 - 30,"36,400 to 63,700",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room",1-2 Hours,3+ Hours,1-2 Hours,>1 Hour,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Toilets/Urinals,Beach Swimming,Beach Swimming,Billiards,Billiards,,,,,,,Friday,4-6,Yes,> 10 minutes,30 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),Evening (6PM-11PM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Beverages (bottled water, energy drinks, soda)","Alcoholic, Caffinated, Water"
4/3/2024 22:09:01,Male,Part-Time,Single,19 - 25,"9,100 to 18,200",Recreational Room,"Recreational Room, Gym and Training Area",>1 Hour,>1 Hour,3+ Hours,1-2 Hours,3+ Hours,>1 Hour,,,,,,"Table Tennis/Ping Pong, Console Gaming",Console Gaming,,,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)",,,,Saturday,None (Solo),Yes,> 10 minutes,> 10 minutes,+ 1 hour,+ 1 hour,+ 1 hour,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12AM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Water
4/3/2024 22:19:32,Female,Unemployed,Single,18 and below,"Less than 9,100",Swimming Pool,Swimming Pool,1-2 Hours,>1 Hour,1-2 Hours,3+ Hours,>1 Hour,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Towels,"Kayaking/Paddling, Jetskiing",Jetskiing,Billiards,Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Cardio (e.g., treadmill, stationary bike), Free Space with Dance Studio Mirrors","Cardio (e.g., treadmill, stationary bike)","Volleyball, Hiking/Nature Walk",Volleyball,"Friday, Saturday",1-3,Yes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12AM-5PM),Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12AM-5PM)",Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Caffinated, Water"
4/3/2024 22:23:51,Female,Unemployed,Single,18 and below,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room",1-2 Hours,1-2 Hours,1-2 Hours,,,,"Play with Pool Toys (e.g., inflatable toys, water guns)","Play with Pool Toys (e.g., inflatable toys, water guns)",Soap and shampoo,"Kayaking/Paddling, Jetskiing, Beach Swimming",,,,,,,,,,Saturday,1-3,No,,,,,,,,"Afternoon (12AM-5PM), Evening (6PM-11PM)","Afternoon (12AM-5PM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/3/2024 22:29:26,Male,Unemployed,Single,19 - 25,"Less than 9,100",Gym and Training Area,"Swimming Pool, Beach/Beach Activities, Gym and Training Area, Sports Center",3+ Hours,3+ Hours,>1 Hour,>1 Hour,1-2 Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels","Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Jetskiing,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Console Gaming,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball, Hiking/Nature Walk",Basketball,"Sunday, Friday, Saturday",7-9,Yes,20 minutes,20 minutes,> 10 minutes,> 10 minutes,30 minutes,30 minutes,Return home/Travel back immediately,Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12AM-5PM),Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12AM-5PM),Yes,"Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/3/2024 22:31:12,Male,Unemployed,Single,19 - 25,"Less than 9,100",Recreational Room,"Swimming Pool, Recreational Room, Gym and Training Area",1-2 Hours,3+ Hours,3+ Hours,1-2 Hours,>1 Hour,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Play with Pool Toys (e.g., inflatable toys, water guns)","Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Kayaking/Paddling, Surfboarding, Jetskiing",Kayaking/Paddling,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Table Tennis/Ping Pong,"Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Cardio (e.g., treadmill, stationary bike)","Tennis, Golf, Hiking/Nature Walk",Hiking/Nature Walk,"Sunday, Saturday",4-6,No,20 minutes,20 minutes,20 minutes,20 minutes,> 10 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Afternoon (12AM-5PM),Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12AM-5PM)","Morning (5AM-11AM), Afternoon (12AM-5PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/3/2024 22:31:19,Male,Unemployed,Single,19 - 25,"9,100 to 18,200",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",3+ Hours,>1 Hour,3+ Hours,>1 Hour,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns)","Play with Pool Toys (e.g., inflatable toys, water guns)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing",Jetskiing,"Billiards, Air Hockey, Console Gaming",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball, Hiking/Nature Walk",Hiking/Nature Walk,"Friday, Saturday",1-3,Yes,+ 1 hour,45 minutes,+ 1 hour,+ 1 hour,+ 1 hour,+ 1 hour,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Afternoon (12AM-5PM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Non-Caffinated, Water"
4/3/2024 22:32:23,Female,Unemployed,Single,18 and below,"Less than 9,100",Beach,Beach/Beach Activities,1-2 Hours,3+ Hours,1-2 Hours,3+ Hours,>1 Hour,3+ Hours,,,,"Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,,,,,,,,,Friday,10+,No,> 10 minutes,20 minutes,30 minutes,20 minutes,30 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Evening (6PM-11PM),Evening (6PM-11PM),"Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/3/2024 22:39:59,Male,Unemployed,Single,18 and below,"Less than 9,100",Beach,Beach/Beach Activities,1-2 Hours,1-2 Hours,1-2 Hours,>1 Hour,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Play with Pool Toys (e.g., inflatable toys, water guns)",Showers,Surfboarding,Jetskiing,Billiards,Table Tennis/Ping Pong,Massage Therapy,"Spa Treatment (e.g., facials)","Weights (e.g., dumbbells, bench press)","Cardio (e.g., treadmill, stationary bike)",Volleyball,Basketball,"Sunday, Friday, Saturday",10+,No,30 minutes,20 minutes,20 minutes,30 minutes,30 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12AM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Water
4/3/2024 22:49:14,Male,Unemployed,Single,19 - 25,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Gym and Training Area",>1 Hour,,,,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Practice Actual Swimming Techniques (e.g., laps, backstroke)",Soap and shampoo,"Fishing, Beach Swimming",Kayaking/Paddling,Table Tennis/Ping Pong,Billiards,Sauna and Steam Rooms,Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press)","Weights (e.g., dumbbells, bench press)",Basketball,Basketball,Friday,4-6,Yes,> 10 minutes,,,,+ 1 hour,,"Eat/Dine (e.g., cafe, restaurant, bar)","Afternoon (12AM-5PM), Evening (6PM-11PM)",Afternoon (12AM-5PM),Morning (5AM-11AM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Morning (5AM-11AM),Yes,"Healthy Options (yogurt, salads, fruit cakes)",Non-Caffinated
4/3/2024 22:52:39,Male,Full-time,Single,19 - 25,"18,200 to 36,400",Gym and Training Area,"Swimming Pool, Beach/Beach Activities, Gym and Training Area, Sports Center",1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,3+ Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing",Surfboarding,,,,,"Weights (e.g., dumbbells, bench press), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball, Golf, Hiking/Nature Walk",Basketball,"Sunday, Friday, Saturday",4-6,No,30 minutes,30 minutes,20 minutes,20 minutes,> 10 minutes,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12AM-5PM),Afternoon (12AM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Yes,"Beverages (bottled water, energy drinks, soda), Meat from palengke","Non-Alcoholic, Non-Caffinated, Water"
